,Fairness Metric,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Compatibility,Allocation,Allocation,Allocation,Allocation,Results,Results,nDCG,Exposure,Exposure,Exposure
,COUNTRY_low_pfr,loan_buck_5,ACTIVITY_Agriculture,COUNTRY_low_pfr,loan_buck_5,ACTIVITY_Agriculture,COUNTRY_low_pfr,loan_buck_5,ACTIVITY_Agriculture,none,In,Out,All,COUNTRY_low_pfr,loan_buck_5,ACTIVITY_Agriculture
0,1.0,1.0,1.0,0.1608230208224694,0.1608230208224694,0.1608230208224694,0.0,0.0,0.0,0,"[('560', 3.4123337247904564), ('348', 3.410057483807285), ('4780', 3.3048126194965826), ('675', 3.2281537339736457), ('2456', 3.2144449177383785), ('4859', 3.2128675112114533), ('3506', 3.2091305125952556), ('1624', 3.2005107077260475), ('523', 3.200079287462815), ('3003', 3.1969209909718956), ('712', 3.196293964842238), ('430', 3.1916458707632676), ('2397', 3.1808248873180407), ('2251', 3.179333569333377), ('1790', 3.1787611718981035), ('4863', 3.174565833355558), ('2028', 3.1733221270821685), ('1521', 3.1723618663735693), ('1636', 3.170936296926099), ('4844', 3.1698245567190155), ('1535', 3.1673214411342965), ('858', 3.164291120604391), ('3617', 3.163126994640362), ('1043', 3.1627412339954994), ('3059', 3.161151481057271), ('1712', 3.1609614878984895), ('413', 3.159832619474569), ('684', 3.15589186657313), ('1247', 3.155371593220656), ('801', 3.1539137840649416), ('4754', 3.153719604193151), ('2492', 3.1522585583438603), ('2044', 3.150425101440047), ('1837', 3.144937382765265), ('1528', 3.1446025116672205), ('1690', 3.1444846392145407), ('2174', 3.139059945950697), ('1673', 3.1390547048702286), ('5', 3.1365303698529368), ('9', 3.134838483970798), ('2064', 3.1341740997911844), ('1501', 3.1332795931388704), ('1877', 3.1285813319401785), ('1018', 3.1271197530303145), ('373', 3.126259595773993), ('2837', 3.1257419786223526), ('2049', 3.1240555009256568), ('1136', 3.1233434346904554), ('4786', 3.1228272748625785), ('2494', 3.1207353269016105)]","[('560', 49.0), ('348', 48.0), ('4780', 47.0), ('675', 46.0), ('2456', 45.0), ('4859', 44.0), ('3506', 43.0), ('1624', 42.0), ('523', 41.0), ('3003', 40.0)]",1.0,0.3,0.2,0.1
1,1.0,1.0,1.0,0.24229218908241482,0.14144054254182067,0.0,0.0,0.0,0.0,0,"[('2485', 3.359660865798405), ('100', 3.3107257918454702), ('2269', 3.2432776605788227), ('821', 3.2371814807084256), ('1484', 3.2129904842666845), ('2887', 3.2116676364488717), ('969', 3.2075825117689436), ('2265', 3.2041634790284697), ('2355', 3.201752269270437), ('380', 3.197628505855518), ('4667', 3.1913348590027995), ('2281', 3.1870285866055226), ('262', 3.1778230686250084), ('744', 3.177381987078368), ('3327', 3.175939930677939), ('343', 3.173723726382591), ('3106', 3.171202711813012), ('3693', 3.1670784931485523), ('1381', 3.166399968995103), ('1955', 3.1654394730074817), ('2568', 3.164916367737096), ('2873', 3.163104345546676), ('785', 3.16057641532125), ('2466', 3.1604963728857953), ('646', 3.1594878573259035), ('320', 3.1593161767267635), ('74', 3.1542512234418485), ('1717', 3.154173993906756), ('4896', 3.1510697661891895), ('1122', 3.1505943210140703), ('289', 3.1491430026080667), ('1652', 3.14592256032029), ('1168', 3.143639563255648), ('456', 3.143045862036267), ('571', 3.1394503762869173), ('366', 3.1388198973640375), ('3531', 3.1383668129964253), ('102', 3.136668085795113), ('625', 3.1328108708648976), ('1072', 3.1324480945528195), ('1452', 3.132160370537853), ('2609', 3.1304676202183086), ('4880', 3.130021605945646), ('1680', 3.1274983658576363), ('4696', 3.1274604180082104), ('2155', 3.127089933932344), ('944', 3.1270430586785745), ('2360', 3.1254223820997646), ('2276', 3.1226601333414092), ('2819', 3.1218826562621054)]","[('2485', 49.0), ('100', 48.0), ('2269', 47.0), ('821', 46.0), ('1484', 45.0), ('2887', 44.0), ('969', 43.0), ('2265', 42.0), ('2355', 41.0), ('380', 40.0)]",1.0,0.1,0.1,0.1
2,0.6666666666666667,0.7499999999999999,1.0,0.1943918578315762,0.14144054254182067,0.08079313589591118,1.0,0.0,0.0,0,"[('1978', 3.315668658003287), ('929', 3.291871646394222), ('4707', 3.268035392725374), ('2167', 3.210409461449675), ('1267', 3.2070570685732562), ('816', 3.20577789415538), ('636', 3.197820757479712), ('1890', 3.1913932995327774), ('2132', 3.1779970884950743), ('1290', 3.167822949348679), ('769', 3.1597855042327088), ('1866', 3.1573536270210205), ('1410', 3.156689602757091), ('2490', 3.155597871948266), ('1252', 3.15429335487036), ('572', 3.153407026698784), ('2260', 3.1509500425663273), ('2120', 3.1506678329827573), ('3309', 3.1504557591537536), ('498', 3.1496050982346997), ('2455', 3.1494163959066332), ('1090', 3.1487589713970507), ('503', 3.1487348990613118), ('686', 3.1486494383776096), ('191', 3.148206470719774), ('2138', 3.14785222141061), ('2047', 3.146402940207152), ('3356', 3.145085439056463), ('685', 3.14503343101536), ('2873', 3.143317301525906), ('4738', 3.1425907661954366), ('2035', 3.1424555893008588), ('1654', 3.1409531207964174), ('2526', 3.140703226182142), ('166', 3.1406382124175973), ('4661', 3.136452137033335), ('4015', 3.1364290108257613), ('3015', 3.134084601812893), ('3544', 3.1326970505553517), ('1024', 3.1322957649249323), ('2141', 3.13129707845714), ('638', 3.131095871249957), ('4649', 3.1295533532880753), ('1589', 3.1292363681733186), ('3315', 3.1283529019504104), ('331', 3.1279130043978816), ('331', 3.1279130043978816), ('1298', 3.127306988700331), ('4673', 3.1269807438025716), ('940', 3.126620586282276)]","[('769', 43.27777777777778), ('1978', 34.111111111111114), ('929', 33.666666666666664), ('4707', 33.22222222222222), ('2167', 32.77777777777778), ('1267', 32.333333333333336), ('816', 31.88888888888889), ('636', 31.444444444444443), ('1890', 31.0), ('2132', 30.555555555555557)]",0.9846960309142397,0.1,0.2,0.0
3,0.5555555555555556,0.8333333333333333,1.0,0.0,0.15838440747285046,0.15838440747285046,0.0,1.0,0.0,0,"[('4859', 3.343342987661204), ('918', 3.3160894798381304), ('1395', 3.312214849934963), ('1069', 3.2862761411080297), ('578', 3.2853979106488627), ('2007', 3.2760857932220717), ('1749', 3.27608381518548), ('1271', 3.2701265393486874), ('122', 3.2675509126848383), ('1016', 3.2652978183010557), ('226', 3.2649146303193146), ('78', 3.2637117843509675), ('601', 3.2596533364772546), ('2029', 3.243525675667878), ('1527', 3.2389231159671015), ('246', 3.238566144805396), ('706', 3.238342361787155), ('3186', 3.23454727436493), ('368', 3.232866056882491), ('4719', 3.2319418843571586), ('634', 3.23176383070186), ('3589', 3.2278159780457876), ('418', 3.2276288298243907), ('1889', 3.2266020637542847), ('219', 3.226521166674275), ('2068', 3.2238983915543735), ('1458', 3.2214604859897507), ('2218', 3.2197128162328306), ('1631', 3.2122297483253677), ('1610', 3.2096182512877864), ('15', 3.2089582767838642), ('820', 3.2056729328893216), ('676', 3.204568151456059), ('942', 3.204148996729579), ('3854', 3.202446963704059), ('2784', 3.2022602984723645), ('726', 3.2008753633336653), ('258', 3.200704910088815), ('3343', 3.1984094455879086), ('2486', 3.1979494316546506), ('466', 3.1909361242842156), ('329', 3.1900806190076545), ('1555', 3.1891757020605356), ('3816', 3.1880076427015376), ('3438', 3.187700181163799), ('1899', 3.187638679598802), ('4593', 3.1858679920806403), ('4843', 3.1851374229697473), ('2055', 3.183764684231254), ('458', 3.183636020231405)]","[('4859', 47.888888888888886), ('368', 39.888888888888886), ('676', 33.666666666666664), ('918', 33.55555555555556), ('1395', 33.111111111111114), ('1069', 32.666666666666664), ('578', 32.22222222222222), ('2007', 31.77777777777778), ('258', 31.444444444444443), ('1749', 31.333333333333332)]",0.985005492144189,0.0,0.4,0.1
4,0.4166666666666667,1.0,1.0,0.16866093149667025,0.2307099556914764,0.0,1.0,0.0,0.0,0,"[('1859', 3.5017126913776258), ('1420', 3.4940573004464426), ('319', 3.434471457007729), ('1061', 3.4308617368063024), ('100', 3.392684955991487), ('19', 3.345560632681657), ('1496', 3.326388540406627), ('1747', 3.316496442938193), ('763', 3.312608713224127), ('115', 3.2966341838947075), ('325', 3.2851951657334846), ('3039', 3.2829165853755597), ('1152', 3.2800280816455314), ('1696', 3.2727090135659416), ('827', 3.265757962254251), ('2330', 3.2656557301699483), ('1385', 3.265480497772317), ('1597', 3.259199192059977), ('2298', 3.257939421342316), ('806', 3.255656156978629), ('1624', 3.2480539614795987), ('4639', 3.247357800372759), ('3896', 3.2450474699446477), ('1890', 3.244165398623095), ('3129', 3.2412833055312174), ('1896', 3.2390917511006987), ('1033', 3.2374312744023364), ('1318', 3.2371071145789845), ('4970', 3.237076753745089), ('4817', 3.23549763440319), ('103', 3.232156762247521), ('822', 3.2311284890145826), ('4014', 3.2308105833622163), ('1662', 3.2293139654994825), ('3638', 3.228973776220239), ('66', 3.2260681440085275), ('1986', 3.2233982065467153), ('2001', 3.2230857111021924), ('231', 3.220794052642108), ('1048', 3.2192228980371462), ('3998', 3.213926353808662), ('581', 3.2124124065910045), ('2877', 3.2122523063044106), ('4944', 3.211943944681049), ('831', 3.20953573342519), ('3719', 3.209194321919862), ('4779', 3.2069143282886587), ('2874', 3.2060121771485948), ('407', 3.2059076626712546), ('1438', 3.201906153016357)]","[('806', 40.55555555555556), ('1859', 35.111111111111114), ('1420', 34.666666666666664), ('319', 34.22222222222222), ('1061', 33.77777777777778), ('100', 33.333333333333336), ('19', 32.888888888888886), ('1496', 32.44444444444444), ('1747', 32.0), ('763', 31.555555555555557)]",0.9735233799670806,0.1,0.1,0.0
5,0.4,1.0,1.0,0.09947705087439423,0.09947705087439423,0.05622035839027107,1.0,0.0,0.0,0,"[('1395', 3.3215533199578124), ('100', 3.2989966297705853), ('2310', 3.2143163480298553), ('517', 3.2142991012713056), ('395', 3.2087937531442132), ('3382', 3.198008131189443), ('750', 3.185258540811529), ('4689', 3.1806496606400705), ('2883', 3.1725519005838603), ('514', 3.1716729110025077), ('1404', 3.167484874731772), ('2499', 3.162571077016658), ('228', 3.152740860666791), ('372', 3.1500644881555457), ('1602', 3.144658283568806), ('3129', 3.143250434514963), ('812', 3.1414714487677347), ('1802', 3.136943821337016), ('3211', 3.136796334283495), ('1117', 3.1340074310858292), ('3680', 3.132049828771765), ('4782', 3.131351012444584), ('2214', 3.128476901195585), ('4997', 3.121761697774924), ('1168', 3.120666309117796), ('3563', 3.1202658200961686), ('55', 3.1200739747542023), ('861', 3.1178150450140243), ('4645', 3.117128438358534), ('4573', 3.1167830297448185), ('2029', 3.116432869453151), ('4783', 3.1162551057495453), ('658', 3.114889418933955), ('1485', 3.1139533596279807), ('798', 3.1136843798058225), ('956', 3.112225186667168), ('138', 3.1121526619667668), ('2451', 3.1097908317182155), ('3347', 3.1070580996904025), ('4993', 3.1060245155567663), ('1952', 3.104893702821738), ('1112', 3.1029274493038232), ('1767', 3.10203819816668), ('1663', 3.099409744673513), ('1950', 3.0985747784558515), ('1912', 3.0953690328444616), ('1914', 3.0945760438035737), ('2455', 3.0933153445753643), ('3055', 3.0932058053550846), ('1558', 3.0931800244136514)]","[('4689', 45.333333333333336), ('3563', 37.333333333333336), ('1395', 34.55555555555556), ('100', 34.111111111111114), ('2310', 33.666666666666664), ('517', 33.22222222222222), ('395', 32.77777777777778), ('3382', 32.333333333333336), ('750', 31.88888888888889), ('4993', 31.11111111111111)]",0.9736546002763747,0.3,0.0,0.0
6,0.5,0.8333333333333333,1.0,0.19823496409776625,0.11467550533614675,0.11467550533614675,1.0,0.0,0.0,0,"[('2310', 3.303314836039527), ('2356', 3.2994903059928897), ('1668', 3.2966283738487143), ('1075', 3.2962979381921715), ('189', 3.2929718769698), ('462', 3.285212850252672), ('661', 3.284200069664691), ('2345', 3.2834020520007723), ('4030', 3.2798637520047), ('236', 3.26786533069367), ('2328', 3.2649078336993473), ('1506', 3.2617741939558775), ('3029', 3.260477206274644), ('1840', 3.25621050250564), ('418', 3.2555384233862523), ('2069', 3.2552761526616747), ('3010', 3.254799920046796), ('439', 3.254493727979455), ('572', 3.2536964814402953), ('2357', 3.251183411508698), ('1455', 3.2500046067821198), ('308', 3.2466858469328876), ('1652', 3.244705012026528), ('856', 3.244680418059817), ('840', 3.238925967058504), ('2137', 3.2373690051485395), ('542', 3.23690588522485), ('1717', 3.235225424567465), ('1179', 3.229441245064389), ('171', 3.224180587358014), ('692', 3.2224253437025174), ('3286', 3.2223941110672936), ('2272', 3.2205436428390533), ('406', 3.2159034792225625), ('269', 3.2145670412908873), ('351', 3.211868540375585), ('1384', 3.208624570383619), ('787', 3.206291953723411), ('4884', 3.2035178786679395), ('1120', 3.2016870291622506), ('4913', 3.2013141795181617), ('3640', 3.200043585318555), ('1583', 3.1999854257603584), ('474', 3.1994021061367413), ('3801', 3.198738256136613), ('711', 3.198465346450186), ('3173', 3.198278909085906), ('1566', 3.196177758511429), ('2546', 3.19497661591145), ('1453', 3.190563475183362)]","[('2356', 47.44444444444444), ('1840', 42.111111111111114), ('418', 41.666666666666664), ('2310', 34.0), ('1668', 33.111111111111114), ('1075', 32.666666666666664), ('189', 32.22222222222222), ('462', 31.77777777777778), ('661', 31.333333333333332), ('2345', 30.88888888888889)]",0.9942956535135697,0.3,0.0,0.2
7,0.5714285714285715,0.7142857142857142,1.0,0.2307099556914764,0.09694460606247313,0.0,1.0,0.0,0.0,0,"[('260', 3.302500306977812), ('601', 3.2143489755958696), ('1656', 3.203030059433544), ('2132', 3.199733332759061), ('1290', 3.1883684888463195), ('31', 3.1829801351544607), ('3253', 3.182111523592205), ('822', 3.1749844507928993), ('2884', 3.171175723445335), ('866', 3.1646904762573294), ('2710', 3.15875852391651), ('2092', 3.155945249151456), ('3051', 3.1533188828823056), ('5', 3.1519655569489036), ('1411', 3.1518567133156914), ('1972', 3.149633888895758), ('2674', 3.1457324091036276), ('3034', 3.142645496573045), ('660', 3.1426028579033267), ('4601', 3.138059104925745), ('1756', 3.137971852488518), ('908', 3.1375876031856382), ('1060', 3.1363608762075317), ('451', 3.135718779165379), ('1624', 3.1340289613530405), ('214', 3.134018156573715), ('3333', 3.133712030136771), ('4617', 3.133373654381399), ('4660', 3.131182891030215), ('228', 3.129884340658546), ('3854', 3.1252192733395305), ('258', 3.123869435375481), ('4627', 3.1237885887388446), ('1225', 3.121056940562139), ('3310', 3.12028943224544), ('7', 3.1192170904428393), ('813', 3.1185471714746136), ('1771', 3.1179312691970966), ('1823', 3.115591305126898), ('187', 3.11431632298164), ('2348', 3.11249922859125), ('3376', 3.111931684107427), ('726', 3.1115838546084356), ('833', 3.107825586680527), ('3377', 3.1077716222204645), ('1750', 3.1035170604901166), ('84', 3.103148996911304), ('1294', 3.1021613147221863), ('220', 3.101326316198579), ('2377', 3.1012454576971247)]","[('1411', 42.22222222222222), ('1756', 39.55555555555556), ('4660', 36.0), ('260', 34.55555555555556), ('601', 34.111111111111114), ('1656', 33.666666666666664), ('2132', 33.22222222222222), ('1290', 32.77777777777778), ('31', 32.333333333333336), ('3253', 31.88888888888889)]",0.9738617920480387,0.3,0.1,0.0
8,0.625,0.6875,1.0,0.07761951112637416,0.18717625687320819,0.0,1.0,0.0,0.0,0,"[('147', 3.5170220235326606), ('114', 3.4147427555835126), ('1509', 3.4046471771603337), ('1447', 3.3380556507747636), ('927', 3.29600690439814), ('1578', 3.2870828667021863), ('1670', 3.258240385617569), ('4740', 3.247691006609714), ('163', 3.238430069625995), ('143', 3.2351520473579867), ('2086', 3.209751408891666), ('258', 3.2078620568758494), ('639', 3.1969512534682405), ('1466', 3.195557376878935), ('994', 3.192294843550267), ('881', 3.1911046659349167), ('465', 3.1867490302083494), ('1492', 3.185714807014939), ('941', 3.183231670012085), ('1823', 3.1813290391195204), ('1841', 3.179699359473409), ('2422', 3.177892760923292), ('257', 3.1689344603051417), ('1658', 3.1681097571299928), ('3010', 3.1680827008176613), ('274', 3.1667878366772118), ('1887', 3.1640703529134218), ('31', 3.16188893908361), ('414', 3.1615763651729893), ('757', 3.161490245977209), ('2375', 3.1604504598756264), ('3190', 3.1583197364559936), ('985', 3.156283311638571), ('1903', 3.155912582897983), ('1070', 3.1502420773506494), ('4922', 3.1501599823651025), ('4939', 3.147510978653931), ('4734', 3.1458121472787783), ('2711', 3.1447737333687216), ('4514', 3.1423505024901512), ('3240', 3.1393169292041945), ('1255', 3.1388574971299605), ('737', 3.138808832675039), ('4601', 3.1381943288627303), ('1898', 3.1366651799996923), ('1737', 3.1355613283202888), ('3231', 3.131008822801747), ('3342', 3.129092553328119), ('3658', 3.127557566639163), ('2379', 3.12702037489943)]","[('114', 48.0), ('1492', 40.888888888888886), ('257', 38.666666666666664), ('147', 34.55555555555556), ('1509', 33.666666666666664), ('1447', 33.22222222222222), ('927', 32.77777777777778), ('1578', 32.333333333333336), ('1670', 31.88888888888889), ('4740', 31.444444444444443)]",0.9682964305392813,0.3,0.2,0.0
